type,symbol,price,amount,usd_value,pnl_pct,pnl_usd,time
MANUAL_SELL,XRP/USDT,2.1701,-2.3,4.99123,0.013826159093022206,0.0006900000000014117,2025-12-04T10:09:57.004489
AUTO_BUY,XRP/USDT,2.1701999999999995,2.3,4.991459999999998,0.0,0.0,2025-12-04T10:11:25.445596
AUTO_SELL,XRP/USDT,2.1600000000000006,-2.2,4.752000000000002,-0.47000276472208835,-0.022439999999997795,2025-12-04T10:35:14.972327
